2024-11-13 11:33:27.244 [restartedMain] INFO  com.cow.horse.BackendApplication - Starting BackendApplication using Java 1.8.0_361 on Snow with PID 3216 (E:\Source_Code\SpringBoot+Vue旅游信息推荐系统（带文档）\SpringBoot+Vue旅游信息推荐系统\backend-Api\target\classes started by 29064 in E:\Source_Code\SpringBoot+Vue旅游信息推荐系统（带文档）\SpringBoot+Vue旅游信息推荐系统\backend-Api)
2024-11-13 11:33:27.246 [restartedMain] INFO  com.cow.horse.BackendApplication - The following profiles are active: dev
2024-11-13 11:33:27.284 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-11-13 11:33:27.284 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-11-13 11:33:27.794 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2024-11-13 11:33:27.795 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-11-13 11:33:27.824 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2024-11-13 11:33:28.267 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-11-13 11:33:28.276 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-11-13 11:33:28.277 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-11-13 11:33:28.277 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2024-11-13 11:33:28.373 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-13 11:33:28.374 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1089 ms
2024-11-13 11:33:28.687 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-11-13 11:33:29.359 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-11-13 11:33:30.231 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2024-11-13 11:33:30.449 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-11-13 11:33:30.472 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-11-13 11:33:30.492 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-11-13 11:33:30.498 [restartedMain] INFO  com.cow.horse.BackendApplication - Started BackendApplication in 3.64 seconds (JVM running for 4.867)
2024-11-13 11:33:30.501 [restartedMain] INFO  com.cow.horse.BackendApplication - =====================项目后端启动成功============================
2024-11-13 11:33:38.344 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-13 11:33:38.344 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-11-13 11:33:38.345 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-11-13 11:35:28.317 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2024-11-13 11:35:28.319 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-11-13 11:35:28.324 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-11-13 11:35:35.530 [restartedMain] INFO  com.cow.horse.BackendApplication - Starting BackendApplication using Java 1.8.0_361 on Snow with PID 11760 (E:\Source_Code\SpringBoot+Vue旅游信息推荐系统（带文档）\SpringBoot+Vue旅游信息推荐系统\backend-Api\target\classes started by 29064 in E:\Source_Code\SpringBoot+Vue旅游信息推荐系统（带文档）\SpringBoot+Vue旅游信息推荐系统\backend-Api)
